Issue Type,Summary,Description,Priority,Labels,Epic Link,Story Points
Epic,Foundation,"Accounts, environments, Azure resources, Dataverse schema, sample data. Maps to Day 1-2 of docs/04_daily_tasks.md.",High,foundation,,
Epic,Conversational layer,"Intake Agent (FNOL_Start + 11 loss-type child topics) + Explanation Agent + multi-channel deployment. Maps to Day 3-4, 13-14, 17.",High,conversational,,
Epic,Backend pipeline,"Extraction, Policy, Validation, Adjudication agents + Glass Box logging + Master Orchestration. Maps to Day 5-12.",High,backend,,
Epic,Adjuster + Customer UI,"Teams Adaptive Card + React frontend (Vite+Tailwind) + Theater Mode. Maps to Day 15-18 (UI mostly done already).",High,ui,,
Epic,Demo,"Sample data polish, Power BI dashboard, recording, rehearsal. Maps to Day 19-21.",High,demo,,
Epic,Production readiness,"Adapter procurement tracking for the 6 industry-gated data feeds (ISO/NICB/CARFAX/DMV/KBB/telematics). Not in dev's hand but a real workstream.",Medium,production,,
Story,R1 Architecture design + review,"Two-surface SPA (customer + handler) on Microsoft Power Platform + Azure AI. Done — see Confluence PRD + GitHub frontend/.",High,architecture,Foundation,3
Story,R2 Dataverse schema (5 tables),"Person 3 builds Policy, Claim, Document, Communication, Decision_Rationale tables per Schema Confluence page. Slim universal columns + LossTypeDetails JSON column on Claim.",High,dataverse,Foundation,5
Story,R3 Sample data — 5 US Personal Auto policies,"Seed Sarah Chen (CA), Michael Johnson (TX), Jennifer Rodriguez (FL no-fault), David Park (NY no-fault), Amanda Williams (OH expired) into Policy table.",High,dataverse,Foundation,2
Story,R4 Multi-channel Intake Agent — all 11 Auto loss types,"As a customer, I file an Auto claim of any of the 11 loss types via Mobile App, Web, Teams, SMS, or Email and Sara walks me through it in <2 min. Build FNOL_Start parent + 11 child topics in Copilot Studio per docs/intake_data_spec.md.",High,copilot-studio,Conversational layer,13
Story,R5 Policy validation (RAG),"As Adjudicator, I confirm coverage applies to this claim's loss type; cite the policy clause. Power Automate flow calls Azure AI Search API directly (not multi-agent handoff per ADR 2026-05-04).",High,power-automate,Backend pipeline,5
